Question,Answer
Q: What is a novel coronavirus?,"<div>
<p>A: A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19) is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.</p>
<p>
</p></div>"
Q: What is coronavirus disease 2019 (COVID-19)?,"<div>
<p>A: Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. There are many types of human coronaviruses, including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans. Current <a href=""https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html"">symptoms reported for patients with COVID-19</a> have included mild to severe respiratory illness with cough, and shortness of breath or difficulty breathing; or at least two of these symptoms: fever, chills, repeated shaking with chills, muscle pain, headache, sore throat, or a new loss of taste or smell. You may have other symptoms. Talk to your health care provider if you have questions or concerns about symptoms.</p>
<p>
</p></div>"
Q: How can I prevent COVID-19?,"<div>
<p>A: The best way to prevent illness is to avoid being exposed to the virus. CDC recommends everyday preventive actions to help prevent the spread of respiratory diseases.</p>
<p><a href=""https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html"">Learn how to protect yourself and others</a> from coronavirus.</p>
<p>Learn more about <a href=""https://www.fda.gov/consumers/consumer-updates/safely-using-hand-sanitizer"">using hand sanitizer safely</a>.</p>
<p>Learn <a href=""https://www.cdc.gov/handwashing/"">how to wash your hands</a> to prevent the spread of coronavirus and other illnesses.</p>
<p>
</p></div>"
Q: Should I wear a face covering or face mask when I go out in public?,"<div>
<p>A: CDC <a href=""https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover.html"">recommends wearing cloth face coverings</a> in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community-based transmission of the coronavirus. The purpose of wearing cloth face coverings in public is to slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others. Read more about <a href=""https://www.fda.gov/medical-devices/personal-protective-equipment-infection-control/n95-respirators-and-surgical-masks-face-masks"">types of face masks</a> and FDA’s emergency use authorization for <a href=""https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-emergency-use-authorization-face-masks-non-surgical"">non-surgical face masks</a>.<br/></p></div>"
Q: What treatments are available for COVID-19?,"<div>
<p>A: People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. If you experience a medical emergency such as trouble breathing, call 911 and let the operator know you may have COVID-19. For severe illness, treatment should include care to support vital organ functions. </p>
<p>Currently there are no FDA-approved drugs specifically for the treatment of COVID-19. Researchers are studying new drugs, and drugs that are already approved for other health conditions, as possible treatments for COVID-19. The FDA is working with drug manufacturers, researchers, and other partners to accelerate the development process for COVID-19 treatments. CDC has <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/therapeutic-options.html"">more information for health care providers</a> about these potential treatments. Never take a prescription medicine or drug if it is not prescribed for you by your doctor for your health condition.</p>
<p>
</p></div>"
"Q: Can disinfectant sprays or wipes be used on my skin, injected, inhaled, or ingested to prevent or treat COVID-19?","<div>
<p>A: No. Always follow the instructions on household cleaners. Disinfectant sprays or wipes are intended for use on hard, non-porous surfaces. Disinfectant sprays or wipes are not intended for use on humans or animals. Do not use disinfectant sprays or wipes on your skin because they may cause skin and eye irritation. Do not inject, inhale, or ingest disinfectant sprays or household cleaners; doing so is dangerous and may cause serious harm or death. If ingested, call poison control or a medical professional immediately.</p>
<p>View the current <a href=""https://www.epa.gov/pesticide-registration/list-n-disinfectants-use-against-sars-cov-2"">list of products that meet EPA’s criteria for use against SARS-CoV-2</a>, the cause of COVID-19. </p>
<p>
</p></div>"
Q. Is hand sanitizer effective against COVID-19?,"<div>
<p>A. The best way to prevent the spread of infections and decrease the risk of getting sick is by washing your hands with plain soap and water, <a href=""https://www.cdc.gov/handwashing/"">advises the CDC</a>. Washing hands often with soap and water for at least 20 seconds is essential, especially after going to the bathroom; before eating; and after coughing, sneezing, or blowing one’s nose. If soap and water are not available, CDC recommends consumers use an alcohol-based hand sanitizer that contains at least 60% alcohol. </p>
<p>
</p></div>"
"Q. Where can I buy hand sanitizer? If I can’t find it in the store, can I make my own?","<div>
<p>A. Many retail stores and pharmacies sell hand sanitizers. However, we understand that many stores have run out of hand sanitizers and they may be difficult to find. To help increase the availability of hand sanitizers, the FDA has issued guidance for the temporary preparation of alcohol-based hand sanitizers by some companies and pharmacies during the public health emergency posed by COVID-19. </p>
<p>The FDA does not recommend that consumers make their own hand sanitizer. If made incorrectly, hand sanitizer can be ineffective, and there have been reports of skin burns from homemade hand sanitizer. The agency lacks verifiable information on the methods being used to prepare hand sanitizer at home and whether they are safe for use on human skin.</p>
<p>See the <a href=""https://www.fda.gov/drugs/information-drug-class/qa-consumers-hand-sanitizers-and-covid-19"">Q&amp;A for Consumers: Hand Sanitizers and COVID-19</a> for more information.</p>
<p>
</p></div>"
Q. What do I do if I get a rash or other reaction to hand sanitizer?,"<div>
<p>A. Call your doctor if you experience a serious reaction to hand sanitizer. FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA’s <a href=""https://www.fda.gov/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program"">MedWatch Adverse Event Reporting</a> program:</p>
<ul><li>Complete and submit the report <a href=""https://www.accessdata.fda.gov/scripts/medwatch/index.cfm"">online</a>; or</li>
<li>Download and complete the <a href=""https://www.fda.gov/media/76299/download"">form</a>, then submit it via fax at 1-800-FDA-0178.</li>
<li>Include as much information as you can about the product that caused the reaction, including the product name, the manufacturer, and the lot number (if available).</li>
</ul><p>See <a href=""https://www.fda.gov/consumers/consumer-updates/safely-using-hand-sanitizer"">Safely Using Hand Sanitizer</a> for more information.</p>
<p>
</p></div>"
Q: Products online claim to prevent or treat COVID-19. Where can I report websites selling fraudulent medical products?,"<div>
<p>A: <a href=""https://www.fda.gov/consumers/consumer-updates/beware-fraudulent-coronavirus-tests-vaccines-and-treatments"">There are currently no FDA-approved vaccines or drug products for COVID-19</a>. You can report websites selling fraudulent medical products to the FDA through our website, by phone, or mail. <a href=""https://www.fda.gov/safety/report-problem-fda/reporting-unlawful-sales-medical-products-internet"">Learn more...</a></p>
<p>
</p></div>"
Q: Am I at risk for serious complications from COVID-19 if I smoke cigarettes?,"<div>
<p>A: Smoking cigarettes can leave you more vulnerable to respiratory illnesses, such as COVID-19. For example, smoking is known to cause lung disease and people with underlying lung problems may have increased risk for serious complications from COVID-19, a disease that primarily attacks the lungs. Smoking cigarettes can also cause inflammation and cell damage throughout the body, and can weaken your immune system, making it less able to fight off disease.<br><br/>
There’s never been a better time to quit smoking. If you need resources to help you quit smoking, FDA’s <a href=""https://smokefree.gov/everytrycounts/"">Every Try Counts</a> campaign has supportive tips and tools to help you get closer to quitting for good.</br></p>
<p>
</p></div>"
Q: If I vape tobacco or nicotine am I at risk for complications from COVID-19?,"<div>
<p>A: E-cigarette use can expose the lungs to toxic chemicals, but whether those exposures increase the risk of COVID-19 or the severity of COVID-19 outcomes is not known. However, many e-cigarette users are current or former smokers, and cigarette smoking increases the risk of respiratory infections, including pneumonia.</p>
<p>
</p></div>"
Q: What is a biological medical product or a biologic?,"<div>
<p>A: Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues.</p>
<p>
</p></div>"
Q: Are there any vaccines or other medical products to prevent COVID-19?,"<div>
<p>A: At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19). The FDA is working with vaccine developers and other researchers and manufacturers to help expedite the development and availability of medical products such as vaccines, antibodies, and drugs to prevent COVID-19. <a href=""https://www.fda.gov/emergency-preparedness-and-response/counterterrorism-and-emerging-threats/coronavirus-disease-2019-covid-19"">Read more</a> about what FDA is doing to mitigate the effects of COVID-19.</p>
<p>
</p></div>"
Q: Does COVID-19 present a risk to the safety of the nation’s blood supply?,"<div>
<p>A: In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.</p>
<p>
</p></div>"
"Q: Can SARS-CoV-2, the virus that causes COVID-19, be transmitted by blood transfusion?","<div>
			 

<p>A: In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.</p>
<p>
</p></div>"
"Q: What steps are being taken to protect the U.S. blood supply from SARS-CoV-2, the virus that causes COVID-19?","<div>
			 

<p>A: Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. For example, blood donors must be in good health and have a normal temperature on the day of donation.</p>
<p>Donors are instructed to contact the donor center if they become ill after donation, so that their blood or plasma will not be used. Even when a donor develops COVID-19 after donation, however, there have been no cases of COVID-19 linked to donor blood or products made from blood.   </p>
<p>FDA has provided <a href=""https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/important-information-blood-establishments-regarding-novel-coronavirus-outbreak"">additional information to blood establishments</a> on its website. </p>
<p>
</p></div>"
Q: Why aren’t blood centers testing donors for SARS-CoV-2?,"<div>
			 

<p>A:  At this time, the FDA does not recommend using laboratory tests to screen blood. Someone who has symptoms of COVID-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. </p>
<p>
</p></div>"
Q: Is it safe for me to donate blood during the coronavirus pandemic?,"<div>
			 

<p>A: If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment. One way to make a difference during a public health emergency is to donate blood if you are able. </p>
<ul><li>AABB: <a href=""http://www.aabb.org/Pages/default.aspx"">www.aabb.org</a>; +1.301.907.6977</li>
<li>America’s Blood Centers: <a href=""https://americasblood.org/"">www.americasblood.org</a></li>
<li>American Red Cross: <a href=""https://www.redcrossblood.org/"">www.redcrossblood.org</a>; +1.800.RED CROSS (+1.800.733.2767)</li>
<li>Armed Services Blood Program: <a href=""https://www.militaryblood.dod.mil/"">www.militaryblood.dod.mil</a>; +1.703.681.8024</li>
</ul><p>
</p></div>"
